Modul,Noten,average,Zeitpunkt
Grundlagenpraktikum 2,3.0,3.0,2025-03-15 19:26:01.053917
Grundlagenpraktikum 2,3.0,3.0,2025-03-15 19:32:22.442085
Grundlagenpraktikum 2,3.0,3.4645161290322584,2025-03-15 19:37:25.786091
Grundlagenpraktikum 2,3.0,3.1806451612903226,2025-03-15 19:40:17.972825
Grundlagenpraktikum 2,3.0,3.0,2025-03-15 19:44:09.180472
Grundlagenpraktikum 2,3.0,3.0,2025-03-15 21:21:24.636665
Grundlagenpraktikum 2,4.0,4.509677419354839,2025-03-15 21:33:06.866437
Grundlagenpraktikum 2,3.0,3.0,2025-03-15 21:35:06.629428
Grundlagenpraktikum 2,4.0,4.27741935483871,2025-03-15 21:38:21.691288
